VIN,County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Electric Range,Base MSRP,StateID
5YJ3E1EA3M,Montgomery,Clarksville,TN,37042,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,310
1G1FY6S05N,Alexandria,Alexandria,VA,22304,2022,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,330
3FA6P0PU8E,Portsmouth,Portsmouth,VA,23707,2014,FORD,FUSION,Plug-in Hybrid Electric Vehicle (PHEV),222,28000,330
5YJ3E1EA8M,Norfolk,Norfolk,VA,23503,2021,TESLA,MODEL 3,Battery Electric Vehicle (BEV),272,43500,330
JTMFB3FV3N,Fairfax,Vienna,VA,22180,2022,TOYOTA,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),42,41590,330
1G1RD6E46D,Norfolk,Norfolk,VA,23503,2013,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),38,34395,330
1G1FZ6S03L,Chesapeake,Chesapeake,VA,23321,2020,CHEVROLET,BOLT EV,Battery Electric Vehicle (BEV),259,36500,330
5UXKT0C53G,Stafford,Stafford,VA,22554,2016,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),14,63900,330
JN1AZ0CP1B,Fairfax,Alexandria,VA,22307,2011,NISSAN,LEAF,Battery Electric Vehicle (BEV),73,28000,330
WVGJNPE2XM,Alexandria,Alexandria,VA,22304,2021,VOLKSWAGEN,ID.4,Battery Electric Vehicle (BEV),223,41190,330
2C4RC1H78J,Oldham,Goshen,KY,40026,2018,CHRYSLER,PACIFICA,Plug-in Hybrid Electric Vehicle (PHEV),33,44995,185
WBY1Z4C53F,Plaquemines,Belle Chasse,LA,70037,2015,BMW,I3,Plug-in Hybrid Electric Vehicle (PHEV),72,44450,190
7SAYGAEEXN,Plaquemines,Belle Chasse,LA,70037,2022,TESLA,MODEL Y,Battery Electric Vehicle (BEV),303,54990,190
KNDCC3LGXN,St. Tammany,Slidell,LA,70461,2022,KIA,NIRO,Battery Electric Vehicle (BEV),253,26590,190
5YJ3E1EB8K,Clark,North Las Vegas,NV,89084,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),220,35500,210
1FADP5CU7E,Clark,Las Vegas,NV,89118,2014,FORD,C-MAX,Plug-in Hybrid Electric Vehicle (PHEV),47,24995,210
